Afghanistan,AFG,32.358
Albania,ALB,3.216
Algeria,DZA,35.980
American Samoa,ASM,70
Andorra,AND,86
Angola,AGO,19.618
Anguilla,AIA,16
Antigua and Barbuda,ATG,90
Argentina,ARG,40.765
Armenia,ARM,3.100
Aruba,ABW,108
Australia,AUS,22.606
Austria,AUT,8.413
Azerbaijan,AZE,9.306
Bahamas,BHS,347
Bahrain,BHR,1.324
Bangladesh,BGD,150.494
Barbados,BRB,274
Belarus,BLR,9.559
Belgium,BEL,10.754
Belize,BLZ,318
Benin,BEN,9.100
Bermuda,BMU,65
Bhutan,BTN,738
Bolivia,BOL,10.088
Bosnia and Herzegovina,BIH,3.752
Botswana,BWA,2.031
Brazil,BVT,196.655
British Virgin Islands,BRA,23
Brunei,IOT,406
Bulgaria,BRN,7.446
Burkina Faso,BGR,16.968
Burundi,BFA,8.575
Cambodia,BDI,14.305
Cameroon,KHM,20.030
Canada,CMR,34.350
Cape Verde,CAN,501
Cayman Islands,CPV,57
Central African Republic,CYM,4.487
Chad,CAF,11.525
Channel Islands,TCD,154
Chile,CHL,17.270
China,CHN,1.347.565
Colombia,COL,46.927
Comoros,COM,754
Congo,COG,4.140
Congo Dem Rep,COD,67.758
Cook Islands,COK,20
Costa Rica,CRI,4.727
Cªte d'Ivoire,CIV,20.153
Croatia,HRV,4.396
Cuba,CUB,11.254
Cyprus,CYP,1.117
Czech Republic,CZE,10.534
Denmark,DNK,5.573
Djibouti,DJI,906
Dominica,DMA,68
Dominican Republic,DOM,10.056
Ecuador,ECU,14.666
Egypt,EGY,82.537
El Salvador,SLV,6.227
Equatorial Guinea,GNQ,720
Eritrea,ERI,5.415
Estonia,EST,1.341
Ethiopia,ETH,84.734
Faeroe Islands,FRO,49
Falkland Islands (Malvinas),FLK,3
Fiji,FJI,868
Finland,FIN,5.385
France,FRA,63.126
French Guiana,GUF,237
French Polynesia,PYF,274
Gabon,GAB,1.534
Gambia,GMB,1.776
Georgia,GEO,4.329
Germany,DEU,82.163
Ghana,GHA,24.966
Gibraltar,GIB,29
Greece,GRC,11.390
Greenland,GRL,57
Grenada,GRD,105
Guadeloupe,GLP,463
Guam,GUM,182
Guatemala,GTM,14.757
Guinea,GIN,10.222
Guinea-Bissau,GNB,1.547
Guyana,GUY,756
Haiti,HTI,10.124
Honduras,HND,7.755
Hong Kong,HKG,7.122
Hungary,HUN,9.966
Iceland,ISL,324
India,IND,1.241.492
Indonesia,IDN,242.326
Iran,IRN,74.799
Iraq,IRQ,32.665
Ireland,IRL,4.526
Isle of Man,IMN,83
Israel,ISR,7.562
Italy,ITA,60.789
Jamaica,JAM,2.751
Japan,JPN,126.497
Jordan,JOR,6.330
Kazakhstan,KAZ,16.207
Kenya,KEN,41.610
Kiribati,KIR,101
Korea North,PRK,24.451
Korea South,KOR,48.391
Kuwait,KWT,2.818
Kyrgyzstan,KGZ,5.393
Laos,LAO,6.288
Latvia,LVA,2.243
Lebanon,LBN,4.259
Lesotho,LSO,2.194
Liberia,LBR,4.129
Libya,LBY,6.423
Liechtenstein,LIE,36
Lithuania,LTU,3.307
Luxembourg,LUX,516
Macao,MAC,556
Macedonia,MKD,2.064
Madagascar,MDG,21.315
Malawi,MWI,15.381
Malaysia,MYS,28.859
Maldives,MDV,320
Mali,MLI,15.840
Malta,MLT,418
Marshall Islands,MHL,55
Martinique,MTQ,407
Mauritania,MRT,3.542
Mauritius,MUS,1.307
Mayotte,MYT,211
Mexico,MEX,114.793
Micronesia,FSM,112
Moldova,MDA,3.545
Monaco,MCO,35
Mongolia,MNG,2.800
Montenegro,MNE,632
Montserrat,MSR,6
Morocco,MAR,32.273
Mozambique,MOZ,23.930
Myanmar,MMR,48.337
Namibia,NAM,2.324
Nauru,NRU,10
Nepal,NPL,30.486
Netherlands,NLD,16.665
Netherlands Antilles,NCL,203
New Caledonia,NZL,255
New Zealand,NIC,4.415
Nicaragua,NER,5.870
Niger,NGA,16.069
Nigeria,NIU,162.471
Niue,NFK,1
Northern Mariana Islands,MNP,61
Norway,NOR,4.925
Oman,OMN,2.846
Pakistan,PAK,176.745
Palau,PLW,21
Palestinian Territory, Occupied,PSE,4.152
Panama,PAN,3.571
Papua New Guinea,PNG,7.014
Paraguay,PRY,6.568
Peru,PER,29.400
Philippines,PHL,94.852
Poland,PCN,38.299
Portugal,POL,10.690
Puerto Rico,PRT,3.746
Qatar,PRI,1.870
R_union,QAT,856
Romania,ROU,21.436
Russia,RUS,142.836
Rwanda,RWA,10.943
Saint Helena,SHN,4
Saint Kitts and Nevis,KNA,53
Saint Lucia,LCA,176
Saint Pierre and Miquelon,SPM,6
Saint Vincent and the Grenadines,VCT,109
Samoa,WSM,184
San Marino,SMR,32
Sao Tome and Principe,STP,169
Saudi Arabia,SAU,28.083
Senegal,SEN,12.768
Serbia,SRB,9.854
Seychelles,SYC,87
Sierra Leone,SLE,5.997
Singapore,SGP,5.188
Slovakia,SVK,5.472
Slovenia,SVN,2.035
Solomon Islands,SLB,552
Somalia,SOM,9.557
South Africa,ZAF,50.460
Spain,ESP,46.455
Sri Lanka,LKA,21.045
Sudan,SDN,44.632
Suriname,SUR,529
Swaziland,SWZ,1.203
Sweden,SWE,9.441
Switzerland,CHE,7.702
Syria,SYR,20.766
Tajikistan,TJK,6.977
Tanzania,TZA,46.218
Thailand,THA,69.519
Timor-Leste,TLS,1.154
Togo,TGO,6.155
Tokelau,TKL,1
Tonga,TON,105
Trinidad and Tobago,TTO,1.346
Tunisia,TUN,10.594
Turkey,TUR,73.640
Turkmenistan,TKM,5.105
Turks and Caicos Islands,TCA,39
Tuvalu,TUV,10
Uganda,UGA,34.509
Ukraine,UKR,45.190
United Arab Emirates,ARE,7.891
United Kingdom,GBR,62.417
United States,USA,313.085
United States Virgin Islands,VIR,109
Uruguay,URY,3.380
Uzbekistan,UZB,27.760
Vanuatu,VUT,246
Vatican City,VEN,0
Venezuela,VNM,29.437
Vietnam,VGB,88.792
Wallis and Futuna Islands,WLF,13
Western Sahara,ESH,548
Yemen,YEM,24.800
Zambia,ZMB,13.475
Zimbabwe,ZWE,12.754