China;1376100000
India;1287760000
United States;323305000
Indonesia;258705000
Brazil;205958000
Pakistan;193406370
Nigeria;186988000
Bangladesh;160265000
Russia;146544710
Japan;126920000
Mexico;122273500
Philippines;103142500
Ethiopia;92206005
Vietnam;91700000
Egypt;90827000
Democratic Republic of the Congo;85026000
Germany;81459000
Iran;79178500
Turkey;78741053
France;66660000
Thailand;65281008
United Kingdom;65097000
Italy;60676361
Tanzania;55155000
South Africa;54956900
Myanmar;54363000
South Korea;51569536
Colombia;48625400
Kenya;47251000
Spain;46423064
Argentina;43590400
Ukraine;42721954
Algeria;40400000
Sudan;39598700
Poland;38484000
Iraq;36575000
Canada;36048521
Uganda;34856813
Morocco;33337529
Saudi Arabia;32248200
Peru;31488700
Venezuela;31028700
Uzbekistan;31576400
Malaysia;30927000
Nepal;28431500
Ghana;27670174
Yemen;27478000
Afghanistan;27101365
Mozambique;26423700
Angola;25868000
North Korea;25281000
Australia;24058200
Cameroon;23924000
Taiwan;23496813
Ivory Coast;22671331
Madagascar;22434363
Sri Lanka;20966000
Niger;20715000
Romania;19861000
Burkina Faso;19034397
Syria;18564000
Chile;18191900
Mali;18135000
Kazakhstan;17713700
Netherlands;17005760
Malawi;16832910
Ecuador;16278844
Guatemala;16176133
Zimbabwe;15967000
Zambia;15933883
Cambodia;15626444
Senegal;14799859
Chad;14497000
Guinea;12947000
South Sudan;12131000
Rwanda;11553188
Belgium;11312444
Cuba;11238317
Somalia;11079000
Haiti;11078033
Bolivia;10985059
Tunisia;10982754
Greece;10846979
Benin;10653654
Czech Republic;10553843
Portugal;10374822
Burundi;10114505
Dominican Republic;10075045
Sweden;9866670
United Arab Emirates;9856000
Hungary;9823000
Azerbaijan;9713500
Jordan;9531712
Belarus;9498700
Austria;8699730
Honduras;8576532
Israel;8489400
Tajikistan;8352000
Switzerland;8325194
Papua New Guinea;8083700
Hong Kong (China);7324300
Bulgaria;7153784
Togo;7143000
Serbia;7114393
Paraguay;6854536
Sierra Leone;6592000
El Salvador;6520675
Laos;6472400
Libya;6385000
Nicaragua;6198154
Kyrgyzstan;6028800
Lebanon;5988000
Denmark;5707251
Singapore;5535000
Finland;5491890
Slovakia;5426252
Eritrea;5352000
Norway;5213985
Central African Republic;4998000
Costa Rica;4832234
Turkmenistan;4751120
Republic of the Congo;4741000
New Zealand;4681820
Ireland;4635400
Liberia;4615000
Oman;4416261
Puntland (Somalia);4284633
Croatia;4225316
Kuwait;4183658
Panama;3814672
Bosnia and Herzegovina;3791622
Georgia;3729500
Mauritania;3718678
Moldova;3553100
Somaliland (Somalia);3500000
Uruguay;3480222
Puerto Rico (US);3474182
Mongolia;3079450
Armenia;2998600
Albania;2886026
Lithuania;2878696
Jamaica;2723246
Qatar;2526994
Namibia;2324400
Botswana;2141206
Slovenia;2070400
Macedonia;2069172
Latvia;1967000
Lesotho;1894194
The Gambia;1882450
Kosovo;1836978
Gabon;1802278
Guinea-Bissau;1547777
Bahrain;1404900
Trinidad and Tobago;1349667
Estonia;1311759
Mauritius;1262879
Equatorial Guinea;1222442
East Timor;1167242
Swaziland;1132657
Djibouti;900
Fiji;867
Cyprus;847
Proposed flag of R_union (VAR)svg R_union (France);844994
Comoros;806153
Bhutan;77281
Guyana;7469
Macau (China);6468
Solomon Islands;642
Montenegro;62181
Luxembourg;5762
Suriname;534189
Cape Verde;531239
Western Sahara;510713
Transnistria;505153
Malta;445426
Brunei;4119
Guadeloupe (France);40375
The Bahamas;393
Martinique (France);381326
Belize;36831
Maldives;341256
Iceland;332529
Northern Cyprus;294396
Barbados;285
Vanuatu;2775
New Caledonia (France);268767
French Polynesia (France);26827
Abkhazia;240705
French Guiana (France);239648
Mayotte (France);212645
Samoa;18782
S†o Tom_ and PrÍncipe;187356
Saint Lucia;186
Guam (US);1842
Curaçao (Netherlands);154843
Flag of Nagorno-Karabakhsvg Nagorno-Karabakh Republic;1489
Kiribati;1134
Saint Vincent and the Grenadines;109991
Aruba (Netherlands);107394
United States Virgin Islands (US);106
Grenada;103328
Tonga;103252
Federated States of Micronesia;1028
Jersey (UK);1008
Seychelles;914
Antigua and Barbuda;86295
Isle of Man (UK);84497
Andorra;71732
Dominica;71293
Guernsey (UK);6515
Bermuda (UK);61954
Cayman Islands (UK);58238
American Samoa (US);571
Northern Mariana Islands (US);5694
Greenland (Denmark);55847
Marshall Islands;5488
South Ossetia;53559
Faroe Islands (Denmark);49192
Saint Kitts and Nevis;46204
Sint Maarten (Netherlands);38247
Monaco;378
Liechtenstein;37623
Flag of Saint-Martin (fictional)svg Saint-Martin (France);36522
Gibraltar (UK);3314
San Marino;33005
Turks and Caicos Islands (UK);31458
British Virgin Islands (UK);28514
Cook Islands;191
Flag of Bonairesvg Bonaire (Netherlands);18905
Palau;1795
Anguilla (UK);13452
Wallis and Futuna (France);1175
Tuvalu;1064
Nauru;10084
Saint Barth_lemy (France);9269
Saint Pierre and Miquelon (France);6069
Montserrat (UK);4922
Flag of Saint Helenasvg Saint Helena, Ascension and Tristan da Cunha (UK);4255
Flag of Sint Eustatiussvg Sint Eustatius (Netherlands);3877
Falkland Islands (UK);2563
Norfolk Island (Australia);2302
Christmas Island (Australia);2072
Flag of Sabasvg Saba (Netherlands);1811
Niue;147
Tokelau (NZ);1411
Vatican City;839
Cocos (Keeling) Islands (Australia);550
French Southern and Antarctic Lands (France);140
Pitcairn Islands (UK);56
South Georgia and the South Sandwich Islands (United Kingdom);29